Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_AN08166_ba9_85	AN08166_ba9_85	AN08166	ba9	6554963	2630488	4218615	1350221
Sample_AN08677_ba41-42-22_1st	AN08677_ba41-42-22_1st	AN08677	ba41/42/22	4082377	3251207	5185207	1596409
Sample_AN08677_vermis_2nd	AN08677_vermis_2nd	AN08677	vermis	6315363	4978409	8791127	2182460
Sample_AN08792_ba41-42-22_102	AN08792_ba41-42-22_102	AN08792	ba41/42/22	4611224	2833311	4698310	1391483
Sample_AN08792_ba9_101	AN08792_ba9_101	AN08792	ba9	11237322	5519769	9003085	2335836
Sample_AN08792_vermis_103	AN08792_vermis_103	AN08792	vermis	4482863	3359135	6035328	1240240
Sample_AN08873_ba9_76	AN08873_ba9_76	AN08873	ba9	4436704	2792614	4169834	1475894
Sample_AN08873_vermis_78	AN08873_vermis_78	AN08873	vermis	5072155	3145820	5440210	1239225
Sample_AN09402-BA9_AN09402_ba9_3rd	AN09402_ba9_3rd	AN09402	ba9	5047924	4697669	8744245	1812561
Sample_AN09402_vermis_1st	AN09402_vermis_1st	AN09402	vermis	10865848	8228917	14627359	2727861
Sample_AN09402_vermis_1st_T	AN09402_vermis_1st_T	AN09402	vermis	9673858	8307044	15505583	3021338
Sample_AN09714_ba41-42-22_1st	AN09714_ba41-42-22_1st	AN09714	ba41/42/22	5591493	4684979	7601116	1794752
Sample_AN09714_ba9_1st	AN09714_ba9_1st	AN09714	ba9	5251814	4180669	6367683	2009981
Sample_AN09714_vermis_1st	AN09714_vermis_1st	AN09714	vermis	5906506	5106645	8669711	2035113
Sample_AN09730_ba9_118	AN09730_ba9_118	AN09730	ba9	5375748	3069766	4950415	1537035
Sample_AN09730_vermis_120	AN09730_vermis_120	AN09730	vermis	4550456	3862720	6733313	1741149
Sample_AN10028_ba9_115	AN10028_ba9_115	AN10028	ba9	5643911	3291648	5412189	1478537
Sample_AN10028_vermis_117	AN10028_vermis_117	AN10028	vermis	4777366	4311246	7597443	1841218
Sample_AN10679_ba41-42-22_2nd	AN10679_ba41-42-22_2nd	AN10679	ba41/42/22	6425186	3617622	5705315	2080841
Sample_AN10679_ba9_1st	AN10679_ba9_1st	AN10679	ba9	4697541	4089041	6371015	1968686
Sample_AN10679_vermis_2nd	AN10679_vermis_2nd	AN10679	vermis	5180122	4108788	7030199	1888874
Sample_AN10723_ba41-42-22_1st	AN10723_ba41-42-22_1st	AN10723	ba41/42/22	5854370	4466226	7608188	2098907
Sample_AN10723_ba9_1st	AN10723_ba9_1st	AN10723	ba9	11676833	7618151	12519772	3575105
Sample_AN10723_ba9_1st_T	AN10723_ba9_1st_T	AN10723	ba9	7865995	5763695	10217032	2752785
Sample_AN10723_vermis_2nd	AN10723_vermis_2nd	AN10723	vermis	4977052	4048268	6799372	1878518
Sample_AN10833_ba41-42-22_47	AN10833_ba41-42-22_47	AN10833	ba41/42/22	3294504	1529636	2420419	747791
Sample_AN10833_vermis_48	AN10833_vermis_48	AN10833	vermis	4907584	3964819	6968409	1824923
Sample_AN11864-BA41-42-22_AN11864_ba41-42-22_3rd	AN11864_ba41-42-22_3rd	AN11864	ba41/42/22	4921994	4497597	8137180	2026300
Sample_AN11864-BA9_AN11864_ba9_3rd	AN11864_ba9_3rd	AN11864	ba9	4889315	4466136	7890198	1959079
Sample_AN11864-CB_AN11864_vermis_3rd	AN11864_vermis_3rd	AN11864	vermis	5505312	5180501	9492989	2315989
Sample_AN11931_ba41-42-22_1st	AN11931_ba41-42-22_1st	AN11931	ba41/42/22	4499842	2644157	4315926	1120982
Sample_AN11931-BA9_AN11931_ba9_3rd	AN11931_ba9_3rd	AN11931	ba9	5600426	5296910	9442572	1851593
